Row 19:  Tháng  |  Sản lượng nắng  |  Sản lượng điện  |  Sản lượng điện  |  Giá điện TB  |  Giá điện TB  |  Doanh thu Solar  |  Doanh thu BESS  |  Tổng Doanh thu  |  Gốc + Lãi Vay  |  Chi phí Bảo Trì  |  Lợi nhuận Ròng  |  Lũy kế Hoàn vốn 
Row 20:  |  |  Solar (kWh)  |  BESS (kWh)  |  Solar (VNĐ)  |  BESS (VNĐ)  |  (VNĐ)  |  (VNĐ)  |  Tiết kiệm (VNĐ)  |  (VNĐ)  |  (36 tháng miễn phí)  |  (VNĐ)  |  Vốn tự có (VNĐ) 
Row 79: 59 | 118 | =ROUND(C67*0.95,0) | =ROUND(D67*90%,0) | =E67*1.05 | =F67*1.05 | =C79*E79 | =D79*F79 | =G79+H79 | 0 | 0 | =I79-J79-K79 | -194790822
Row 80: 60 | 120 | =ROUND(C68*0.95,0) | =ROUND(D68*90%,0) | =E68*1.05 | =F68*1.05 | =C80*E80 | =D80*F80 | =G80+H80 | 0 | 0 | =I80-J80-K80 | -163113095
Row 81: 61 | 128 | =ROUND(C69*0.95,0) | =ROUND(D69*90%,0) | =E69*1.05 | =F69*1.05 | =C81*E81 | =D81*F81 | =G81+H81 | 0 | 0 | =I81-J81-K81 | -127970894
Row 82: 62 | 134 | =ROUND(C70*0.95,0) | =ROUND(D70*90%,0) | =E70*1.05 | =F70*1.05 | =C82*E82 | =D82*F82 | =G82+H82 | 0 | 0 | =I82-J82-K82 | -92540765
Row 83: 63 | 148 | =ROUND(C71*0.95,0) | =ROUND(D71*90%,0) | =E71*1.05 | =F71*1.05 | =C83*E83 | =D83*F83 | =G83+H83 | 0 | 0 | =I83-J83-K83 | -53418656
Row 84: 64 | 132 | =ROUND(C72*0.95,0) | =ROUND(D72*90%,0) | =E72*1.05 | =F72*1.05 | =C84*E84 | =D84*F84 | =G84+H84 | 0 | 0 | =I84-J84-K84 | -18508655
Row 85: 65 | 118 | =ROUND(C73*0.95,0) | =ROUND(D73*90%,0) | =E73*1.05 | =F73*1.05 | =C85*E85 | =D85*F85 | =G85+H85 | 0 | 0 | =I85-J85-K85 | 12714010
Row 86: 66 | 107 | =ROUND(C74*0.95,0) | =ROUND(D74*90%,0) | =E74*1.05 | =F74*1.05 | =C86*E86 | =D86*F86 | =G86+H86 | 0 | 0 | =I86-J86-K86 | 41038819
Row 87: 67 | 107 | =ROUND(C75*0.95,0) | =ROUND(D75*90%,0) | =E75*1.05 | =F75*1.05 | =C87*E87 | =D87*F87 | =G87+H87 | 0 | 0 | =I87-J87-K87 | 69363628
Row 88: 68 | 114 | =ROUND(C76*0.95,0) | =ROUND(D76*90%,0) | =E76*1.05 | =F76*1.05 | =C88*E88 | =D88*F88 | =G88+H88 | 0 | 0 | =I88-J88-K88 | 99527461
Row 89: 69 | 105 | =ROUND(C77*0.95,0) | =ROUND(D77*90%,0) | =E77*1.05 | =F77*1.05 | =C89*E89 | =D89*F89 | =G89+H89 | 0 | 0 | =I89-J89-K89 | 127327498
Row 90: 70 | 115 | =ROUND(C78*0.95,0) | =ROUND(D78*90%,0) | =E78*1.05 | =F78*1.05 | =C90*E90 | =D90*F90 | =G90+H90 | 0 | 0 | =I90-J90-K90 | 157756039
Row 91: 71 | 118 | =ROUND(C79*0.95,0) | =ROUND(D79*90%,0) | =E79*1.05 | =F79*1.05 | =C91*E91 | =D91*F91 | =G91+H91 | 0 | 0 | =I91-J91-K91 | 188978704
Row 92: 72 | 120 | =ROUND(C80*0.95,0) | =ROUND(D80*90%,0) | =E80*1.05 | =F80*1.05 | =C92*E92 | =D92*F92 | =G92+H92 | 0 | 0 | =I92-J92-K92 | 220730785
Row 93: 73 | 128 | =ROUND(C81*0.95,0) | =ROUND(D81*90%,0) | =E81*1.05 | =F81*1.05 | =C93*E93 | =D93*F93 | =G93+H93 | 0 | 0 | =I93-J93-K93 | 256034004
Row 94: 74 | 134 | =ROUND(C82*0.95,0) | =ROUND(D82*90%,0) | =E82*1.05 | =F82*1.05 | =C94*E94 | =D94*F94 | =G94+H94 | 0 | 0 | =I94-J94-K94 | 291629783
Row 95: 75 | 148 | =ROUND(C83*0.95,0) | =ROUND(D83*90%,0) | =E83*1.05 | =F83*1.05 | =C95*E95 | =D95*F95 | =G95+H95 | 0 | 0 | =I95-J95-K95 | 330984958
Row 96: 76 | 132 | =ROUND(C84*0.95,0) | =ROUND(D84*90%,0) | =E84*1.05 | =F84*1.05 | =C96*E96 | =D96*F96 | =G96+H96 | 0 | 0 | =I96-J96-K96 | 366049253
Row 97: 77 | 118 | =ROUND(C85*0.95,0) | =ROUND(D85*90%,0) | =E85*1.05 | =F85*1.05 | =C97*E97 | =D97*F97 | =G97+H97 | 0 | 0 | =I97-J97-K97 | 397359028
Row 98: 78 | 107 | =ROUND(C86*0.95,0) | =ROUND(D86*90%,0) | =E86*1.05 | =F86*1.05 | =C98*E98 | =D98*F98 | =G98+H98 | 0 | 0 | =I98-J98-K98 | 425718823
Row 99: 79 | 107 | =ROUND(C87*0.95,0) | =ROUND(D87*90%,0) | =E87*1.05 | =F87*1.05 | =C99*E99 | =D99*F99 | =G99+H99 | 0 | 0 | =I99-J99-K99 | 454078618
Row 100: 80 | 114 | =ROUND(C88*0.95,0) | =ROUND(D88*90%,0) | =E88*1.05 | =F88*1.05 | =C100*E100 | =D100*F100 | =G100+H100 | 0 | 0 | =I100-J100-K100 | 484310797
Row 101: 81 | 105 | =ROUND(C89*0.95,0) | =ROUND(D89*90%,0) | =E89*1.05 | =F89*1.05 | =C101*E101 | =D101*F101 | =G101+H101 | 0 | 0 | =I101-J101-K101 | 512134232
Row 102: 82 | 115 | =ROUND(C90*0.95,0) | =ROUND(D90*90%,0) | =E90*1.05 | =F90*1.05 | =C102*E102 | =D102*F102 | =G102+H102 | 0 | 0 | =I102-J102-K102 | 542634591
Row 103: 83 | 118 | =ROUND(C91*0.95,0) | =ROUND(D91*90%,0) | =E91*1.05 | =F91*1.05 | =C103*E103 | =D103*F103 | =G103+H103 | 0 | 0 | =I103-J103-K103 | 573944366
Row 104: 84 | 120 | =ROUND(C92*0.95,0) | =ROUND(D92*90%,0) | =E92*1.05 | =F92*1.05 | =C104*E104 | =D104*F104 | =G104+H104 | 0 | 0 | =I104-J104-K104 | 605795377
Row 105: 85 | 128 | =ROUND(C93*0.95,0) | =ROUND(D93*90%,0) | =E93*1.05 | =F93*1.05 | =C105*E105 | =D105*F105 | =G105+H105 | 0 | 0 | =I105-J105-K105 | 641291987
Row 106: 86 | 134 | =ROUND(C94*0.95,0) | =ROUND(D94*90%,0) | =E94*1.05 | =F94*1.05 | =C106*E106 | =D106*F106 | =G106+H106 | 0 | 0 | =I106-J106-K106 | 677085557
Row 107: 87 | 148 | =ROUND(C95*0.95,0) | =ROUND(D95*90%,0) | =E95*1.05 | =F95*1.05 | =C107*E107 | =D107*F107 | =G107+H107 | 0 | 0 | =I107-J107-K107 | 716708887
Row 108: 88 | 132 | =ROUND(C96*0.95,0) | =ROUND(D96*90%,0) | =E96*1.05 | =F96*1.05 | =C108*E108 | =D108*F108 | =G108+H108 | 0 | 0 | =I108-J108-K108 | 751964857
Row 109: 89 | 118 | =ROUND(C97*0.95,0) | =ROUND(D97*90%,0) | =E97*1.05 | =F97*1.05 | =C109*E109 | =D109*F109 | =G109+H109 | 0 | 0 | =I109-J109-K109 | 783396187
Row 110: 90 | 107 | =ROUND(C98*0.95,0) | =ROUND(D98*90%,0) | =E98*1.05 | =F98*1.05 | =C110*E110 | =D110*F110 | =G110+H110 | 0 | 0 | =I110-J110-K110 | 811822077
Row 111: 91 | 107 | =ROUND(C99*0.95,0) | =ROUND(D99*90%,0) | =E99*1.05 | =F99*1.05 | =C111*E111 | =D111*F111 | =G111+H111 | 0 | 0 | =I111-J111-K111 | 840247967
Row 112: 92 | 114 | =ROUND(C100*0.95,0) | =ROUND(D100*90%,0) | =E100*1.05 | =F100*1.05 | =C112*E112 | =D112*F112 | =G112+H112 | 0 | 0 | =I112-J112-K112 | 870578497
Row 113: 93 | 105 | =ROUND(C101*0.95,0) | =ROUND(D101*90%,0) | =E101*1.05 | =F101*1.05 | =C113*E113 | =D113*F113 | =G113+H113 | 0 | 0 | =I113-J113-K113 | 898456547
Row 114: 94 | 115 | =ROUND(C102*0.95,0) | =ROUND(D102*90%,0) | =E102*1.05 | =F102*1.05 | =C114*E114 | =D114*F114 | =G114+H114 | 0 | 0 | =I114-J114-K114 | 929063557
Row 115: 95 | 118 | =ROUND(C103*0.95,0) | =ROUND(D103*90%,0) | =E103*1.05 | =F103*1.05 | =C115*E115 | =D115*F115 | =G115+H115 | 0 | 0 | =I115-J115-K115 | 960494887
Row 116: 96 | 120 | =ROUND(C104*0.95,0) | =ROUND(D104*90%,0) | =E104*1.05 | =F104*1.05 | =C116*E116 | =D116*F116 | =G116+H116 | 0 | 0 | =I116-J116-K116 | 992479177
